comentario
"Me encantó la propuesta del candidato, muy clara y directa."
"No estoy de acuerdo con lo que dijo sobre educación."
"Excelente iniciativa para mejorar la salud pública."
"Siempre lo mismo con los políticos, promesas vacías."
"Gran trabajo en seguridad ciudadana, se nota el cambio."
"No hacen nada por el pueblo, solo buscan votos."
"Me parece una excelente propuesta para mejorar la economía del país."
"Otro político más con promesas vacías, ya no les creo nada."
"Deberían invertir más en educación y salud, no solo en obras públicas."
"La iniciativa es buena, pero falta claridad en su implementación."
"Excelente comunicación, explica todo de forma sencilla y directa."
"No hay resultados concretos después de tanto tiempo."
"Podría ser una solución interesante si realmente se aplica."
"Qué vergüenza que no respondan a las críticas de la población."
"Gran avance en infraestructura, felicidades al equipo."
"Estoy confundido, no entiendo bien la propuesta que presentaron."
